Designator,Mid X,Mid Y,Rotation,Layer
A1,60.5,-67.4255,0.0,bottom
C1,40.705,-95.705,90.0,bottom
C10,74.5,-116.0,270.0,bottom
C11,73.25,-103.0,90.0,bottom
C12,78.5,-110.0,180.0,bottom
C13,78.5,-108.5,180.0,bottom
C14,78.5,-112.0,180.0,bottom
C15,75.75,-116.0,270.0,bottom
C16,70.75,-116.75,270.0,bottom
C17,72.0,-103.0,90.0,bottom
C18,65.5,-113.0,0.0,bottom
C2,35.805,-93.005,270.0,bottom
C20,62.225,-127.5,0.0,bottom
C21,68.0,-101.5,180.0,bottom
C22,70.25,-101.5,180.0,bottom
C23,64.0,-108.7,0.0,bottom
C3,46.805,-93.205,270.0,bottom
C4,49.105,-93.205,270.0,bottom
C5,51.405,-93.205,270.0,bottom
C6,53.705,-93.205,270.0,bottom
C7,60.2,-92.9,270.0,bottom
C8,57.3,-87.7,90.0,bottom
C9,69.5,-116.75,270.0,bottom
D1,31.4,-99.7125,90.0,top
D2,34.1,-99.7125,270.0,top
D3,36.8,-99.7,90.0,top
D4,39.3,-99.7,270.0,top
FID1,62.7,-87.625,0.0,top
FID2,91.875,-137.0,0.0,top
FID3,41.3,-137.4,0.0,top
FID4,92.35,-123.05,0.0,bottom
FID5,86.45,-97.15,0.0,bottom
FID6,27.9,-132.7,0.0,bottom
H1,27.75,-60.75,0.0,top
H2,93.25,-60.75,0.0,top
H3,27.75,-99.05,0.0,top
H4,93.25,-99.05,0.0,top
J1,27.94,-89.75,90.0,bottom
J2,93.55,-90.525,270.0,bottom
L1,51.2,-87.9,180.0,bottom
Q1,51.5,-102.5,90.0,bottom
Q2,82.7,-92.1,270.0,bottom
R1,35.0,-88.0,180.0,bottom
R10,47.25,-100.0,0.0,bottom
R2,35.25,-90.75,180.0,bottom
R3,39.005,-95.705,270.0,bottom
R4,60.2,-90.7,270.0,bottom
R5,38.6,-84.8,0.0,bottom
R6,72.0,-116.0,90.0,bottom
R7,73.25,-116.01,90.0,bottom
R8,63.0,-115.0,270.0,bottom
R9,70.75,-103.0,90.0,bottom
SW1,42.65,-85.6,180.0,bottom
SW2,34.3,-138.025,0.0,bottom
U1,41.7,-90.4,180.0,bottom
U2,71.9,-109.5,270.0,bottom
U3,65.0,-121.25,180.0,bottom
U4,51.35,-109.3,270.0,bottom
Y1,69.0,-99.0,180.0,bottom
