Designator,Footprint,Quantity,Value,LCSC Part #
A1,RASPBERRYPI-ZERO_RPI-ZERO,1,RASPBERRYPI-ZERO,
"C1, C2",0603,2,10u,C19702
"C10, C11, C13, C14, C16, C17, C18, C23",0402,8,100n,C71687
C12,0603,1,1u,C14445
C15,0402,1,100n,
C20,0603,1,100n,C1590
"C21, C22",0402,2,15p,C1548
"C3, C4, C5, C6",0805,4,22u,C29277
"C7, C8",0603,2,22u,C60077
C9,0402,1,1u,C14445
"D1, D2, D3, D4",0603,4,LED_Small,C6695603
FB1,0603,1,600R,C1017
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,C157932
L1,L_Taiyo-Yuden_NR-60xx,1,1uH,C2903082
Q1,SOT-23,1,BSS138,C52895
"R1, R2",0603,2,5.1k,C23186
"R10, R5",0603,2,10k,C25804
R3,0603,1,2R,C22977
R4,0603,1,0.5R,C45312
"R6, R7",0603,2,27.4,C177713
"R8, R9",0603,2,1k,C21190
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,C221675
U1,SOP127P600X165-9N,1,IP5306,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,BM14B(0.8)-24DS-0.4V(53),1,BBQ10KBD,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
