Designator,Mid X,Mid Y,Rotation,Layer
A1,60.5,-67.4255,0.0,bottom
C1,37.05,-84.5,180.0,top
C10,63.125,-115.2,0.0,bottom
C11,65.525,-104.1,90.0,bottom
C12,58.575,-106.625,0.0,bottom
C13,72.925,-106.625,180.0,bottom
C14,59.95,-114.375,0.0,bottom
C15,64.8,-115.6,270.0,bottom
C16,60.8925,-104.525,0.0,bottom
C17,64.6,-102.75,90.0,bottom
C18,72.925,-110.25,180.0,bottom
C2,39.5,-88.6,270.0,top
C20,76.325,-104.2,270.0,bottom
C21,70.28,-114.8,0.0,bottom
C22,66.825,-114.725,0.0,bottom
C23,58.4175,-110.225,0.0,bottom
C3,49.5,-86.4,90.0,top
C4,51.7,-86.4,90.0,top
C5,53.9,-86.4,90.0,top
C6,56.1,-86.4,90.0,top
C7,46.875,-93.275,180.0,top
C8,58.575,-94.125,0.0,top
C9,61.925,-103.325,0.0,bottom
D1,30.35,-100.375,90.0,top
D2,33.775,-100.375,270.0,top
D3,37.15,-100.375,90.0,top
D4,40.55,-100.375,270.0,top
FB1,31.025,-96.5625,270.0,top
FID1,62.7,-87.625,0.0,top
FID2,91.875,-137.0,0.0,top
FID3,29.0,-135.825,0.0,top
FID4,92.35,-123.05,0.0,bottom
FID5,86.45,-97.15,0.0,bottom
FID6,30.5,-129.125,0.0,bottom
J1,27.94,-89.75,270.0,top
J2,93.55,-90.525,270.0,bottom
L1,53.5,-91.7,270.0,top
Q1,44.35,-109.275,180.0,bottom
R1,35.25,-91.5,0.0,top
R10,46.25,-106.05,90.0,bottom
R2,35.1,-88.5,0.0,top
R3,39.55,-85.5,90.0,top
R4,49.175,-94.25,90.0,top
R5,44.95,-97.725,270.0,top
R6,59.775,-100.425,0.0,bottom
R7,56.8,-99.25,0.0,bottom
R8,75.225,-97.8,0.0,bottom
R9,69.125,-120.85,0.0,bottom
SW1,41.3,-96.1,0.0,top
U1,44.6,-89.25,0.0,top
U2,65.0125,-109.225,90.0,bottom
U3,70.7125,-101.125,90.0,bottom
U4,51.35,-109.3,270.0,bottom
Y1,68.5,-117.75,0.0,bottom
